Placement,Country,Season,Queen,Design,Snatch Game,Ball,Makeover,Acting,Girl Groups,Rusical,,
winner,AUS,1,Kita Mean,SAFE,HIGH,,WIN,,HIGH,,,4
winner,AUS,2,Spankie Jackzon,BTM,HIGH,,HIGH,WIN,WIN,,,5
winner,CAN,1,Priyanka,SAFE,BTM,SAFE,WIN,HIGH,WIN,,,6
winner,CAN,2,Icesis Couture,WIN,SAFE,WIN,BTM,SAFE,HIGH,BTM,ALL 7,7
winner,CAN,3,Gisele Lullaby,WIN,WIN,HIGH,,,,BTM,,4
winner,CAN_WORLD,1,Ra'Jah O'Hara,,WIN,SAFE,,HIGH,HIGH,,,4
winner,ESP,1,Carmen Farala,SAFE,LOW,,WIN,HIGH,WIN,,,5
winner,ESP,2,Sharonne,,WIN,SAFE,HIGH,,,WIN,,4
winner,FRA,1,Paloma,,HIGH,HIGH,HIGH,WIN,BTM,,,5
winner,HOL,1,Envy Peru,,WIN,,WIN,SAFE,,SAFE,,4
winner,HOL,2,Vanessa Van Cartier,SAFE,SAFE,,WIN,SAFE,,LOW,,5
winner,ITA,1,Elecktra Bionic,SAFE,SAFE,,HIGH,,,SAFE,,4
winner,ITA,2,La Diamond,WIN,WIN,,SAFE,SAFE,,SAFE,,5
winner,PH,1,Precious Paula Nicole,HIGH,SAFE,LOW,HIGH,,SAFE,WIN,,6
winner,THI,1,Natalia Pilacam,SAFE,WIN,,HIGH,,,,,3
winner,THI,2,Angele Anang,WIN,SAFE,,WIN,WIN,,BTM,,5
winner,UK,1,The Vivienne,HIGH,WIN,,HIGH,HIGH,BTM,,,5
winner,UK,2,Lawrence Chaney,LOW,BTM,,,HIGH,WIN,LOW,,5
winner,UK,3,Krystal Versace,,LOW,WIN,,HIGH,SAFE,,,4
winner,UK,4,Danny Beard,SAFE,SAFE,,HIGH,HIGH,WIN,WIN,,6
winner,UK_WORLD,1,Blu Hydrangea,,WIN,SAFE,,,,SAFE,,3
winner,US,1,Bebe Zahara Benet,SAFE,,WIN,BTM,,SAFE,,,4
winner,US,2,Tyra Sanchez,HIGH,SAFE,WIN,HIGH,HIGH,,,,5
winner,US,3,Raja,WIN,HIGH,HIGH,BTM,SAFE,,,,5
winner,US,4,Sharon Needles,WIN,HIGH,WIN,LOW,SAFE,,,,5
winner,US,5,Jinkx Monsoon,SAFE,WIN,BTM,HIGH,SAFE,,,,5
winner,US,6,Bianca Del Rio,WIN,HIGH,HIGH,WIN,HIGH,HIGH,SAFE,ALL 7,7
winner,US,7,Violet Chachki,WIN,SAFE,WIN,HIGH,SAFE,,HIGH,,6
winner,US,8,Bob the Drag Queen,SAFE,WIN,BTM,SAFE,WIN,SAFE,SAFE,ALL 7,7
winner,US,9,Sasha Velour,SAFE,HIGH,HIGH,HIGH,LOW,,SAFE,,6
winner,US,10,Aquaria,SAFE,WIN,WIN,LOW,HIGH,,SAFE,,6
winner,US,11,Yvie Oddly,SAFE,BTM,HIGH,LOW,WIN,,HIGH,,6
winner,US,12,Jaida Essence Hall,,SAFE,HIGH,WIN,,,HIGH,,4
winner,US,13,Symone,,SAFE,SAFE,WIN,WIN,,BTM,,5
winner,US,14,Willow Pill,SAFE,BTM,WIN,,HIGH,,HIGH,,5
winner,US AS,1,Chad Michaels,,HIGH,WIN,WIN,,,,,3
winner,US AS,2,Alaska,,WIN,,BTM,WIN,,SAFE,,4
winner,US AS,3,Trixie Mattel,,BTM,WIN,,WIN,BTM,SAFE,,5
winner,US AS,4,Monet X Change,HIGH,SAFE,,WIN,BTM,WIN,,,5
winner,US AS,4,Trinity The Tuck,WIN,WIN,,HIGH,WIN,SAFE,,,5
winner,US AS,5,Shea Coulee,BTM,WIN,HIGH,,,WIN,,,4
winner,US AS,6,Kylie Sonique Love,LOW,HIGH,HIGH,,WIN,HIGH,SAFE,,6
winner,US AS,7,Jinkx Monsoon,SAFE,WIN,SAFE,,SAFE,SAFE,,,5
final,US,15,Anetra,SAFE,SAFE,HIGH,WIN,HIGH,LOW,WIN,ALL 7,7
final,US,15,Mistress Isabelle Brooks,SAFE,HIGH,HIGH,HIGH,WIN,HIGH,HIGH,ALL 7,7
final,US,15,Sasha Colby,HIGH,SAFE,WIN,HIGH,SAFE,HIGH,HIGH,ALL 7,7
final,US,15,Luxx Noir London,WIN,SAFE,SAFE,BTM,SAFE,SAFE,HIGH,ALL 7,7
final,BEL,1,Athena Sorgelikis,,LOW,SAFE,WIN,SAFE,,,,4
final,BEL,1,Drag Couenne,,SAFE,SAFE,HIGH,WIN,,,,4
final,BEL,1,Mademoiselle Boop,,WIN,HIGH,BTM,SAFE,,,,4
final,BEL,1,Susan,,HIGH,WIN,LOW,BTM,,,,4