,finalist,variable,value
562,Kita Mean_AUS_1_REG,4,2.0
563,Art Simone_AUS_1_REG,4,3.0
564,Karen from Finance_AUS_1_REG,4,0.0
565,Scarlet Adams_AUS_1_REG,4,5.0
566,Carmen Farala_ESP_1_REG,4,1.0
567,Killer Queen_ESP_1_REG,4,5.0
568,Sagittaria_ESP_1_REG,4,3.0
569,Pupi Poisson_ESP_1_REG,4,3.0
570,Kylie Sonique Love_US_6_AS,4,2.0
571,Ginger Minj_US_6_AS,4,1.0
572,Ra'jah O'Hara_US_6_AS,4,2.0
573,Eureka_US_6_AS,4,3.0
574,Vanessa Van Cartier_HOL_2_REG,4,1.0
575,My Little Puny_HOL_2_REG,4,5.0
576,Vivaldi_HOL_2_REG,4,2.0
577,Ella Vaday_UK_3_REG,4,5.0
578,Kitty Scott-Claus_UK_3_REG,4,2.0
579,Krystal Versace_UK_3_REG,4,2.0
580,Icesis Couture_CAN_2_REG,4,2.0
581,Kendall Gender_CAN_2_REG,4,2.0
582,Pythia_CAN_2_REG,4,3.0
583,Farida Kant_ITA_1_REG,4,2.0
584,Elecktra Bionic_ITA_1_REG,4,2.0
585,Le Riche_ITA_1_REG,4,5.0
586,Luquisha Lubamba_ITA_1_REG,4,3.0
587,Blu Hydrangea_UK_1_WORLD,4,5.0
588,Mo Heart_UK_1_WORLD,4,0.0
589,Baga Chipz_UK_1_WORLD,4,4.0
590,Jujubee_UK_1_WORLD,4,0.0
591,Angeria Paris VanMichaels_US_14_REG,4,5.0
592,Bosco_US_14_REG,4,2.0
593,Daya Betty_US_14_REG,4,2.0
594,Lady Camden_US_14_REG,4,2.0
595,Willow Pill_US_14_REG,4,3.0
596,Estrella Xtravaganza_ESP_2_REG,4,5.0
597,Sharonne_ESP_2_REG,4,3.0
598,Venedita Von Dash_ESP_2_REG,4,2.0
599,Marina_ESP_2_REG,4,3.0
600,Jinkx Monsoon_US_7_AS,4,4.0
601,Monet X Change_US_7_AS,4,2.0
602,Shea Coulee_US_7_AS,4,2.0
603,Trinity the Tuck_US_7_AS,4,2.0
604,Paloma_FRA_1_REG,4,3.0
605,La Grande Dame_FRA_1_REG,4,5.0
606,Soa de Muse_FRA_1_REG,4,3.0
607,Lolita Banana_FRA_1_REG,4,1.0
608,Gisele Lullaby_CAN_3_REG,4,5.0
609,Jada Shada Hudson_CAN_3_REG,4,0.0
610,Kimmy Couture_CAN_3_REG,4,3.0
611,Miss Fiercalicious_CAN_3_REG,4,2.0
612,Hanna Conda_AUS_2_REG,4,5.0
613,Kween Kong_AUS_2_REG,4,2.0
614,Spankie Jackzon_AUS_2_REG,4,3.0
615,Eva Le Queen_PH_1_REG,4,2.0
616,Marina Summers_PH_1_REG,4,3.0
617,Precious Paula Nicole_PH_1_REG,4,5.0
618,Xilhouete_PH_1_REG,4,3.0
619,Black Peppa_UK_4_REG,4,2.0
620,Cheddar Gorgeous_UK_4_REG,4,3.0
621,Danny Beard_UK_4_REG,4,5.0
622,Jonbers Blonde_UK_4_REG,4,2.0
623,La Diamond_ITA_2_REG,4,5.0
624,Aura Etherial_ITA_2_REG,4,2.0
625,Nehllenia_ITA_2_REG,4,3.0
626,Ra'jah O'Hara_CAN_1_WORLD,4,0.0
627,Rita Baga_CAN_1_WORLD,4,2.0
628,Silky Nutmeg Ganache_CAN_1_WORLD,4,4.0
629,Victoria Scone_CAN_1_WORLD,4,5.0
630,Anetra_US_15_REG,4,2.0
631,Luxx Noir London_US_15_REG,4,5.0
632,Mistress Isabelle Brookes_US_15_REG,4,2.0
633,Sasha Colby_US_15_REG,4,3.0
634,Athena Sorgelikis_BEL_1_REG,4,2.0
635,Drag Couenne_BEL_1_REG,4,5.0
636,Susan_BEL_1_REG,4,0.0
637,Admira Thunderpussy_SWE_1_REG,4,5.0
638,Fontana_SWE_1_REG,4,2.0
639,Vanity Vain_SWE_1_REG,4,1.0
640,Chad Michaels_US_1_AS,5,5.0
641,Raven_US_1_AS,5,0.0
642,Jujubee_US_1_AS,5,0.0
643,Shannel_US_1_AS,5,5.0
644,Alaska_US_2_AS,5,5.0
645,Detox_US_2_AS,5,5.0
646,Katya_US_2_AS,5,2.0
647,Roxxxy Andrews_US_2_AS,5,0.0
648,Trixie Mattel_US_3_AS,5,4.0
649,Kennedy Davenport_US_3_AS,5,2.0
650,BeBe Zahara Benet_US_3_AS,5,5.0
651,Shangela_US_3_AS,5,0.0
652,Monet X Change_US_4_AS,5,5.0
653,Trinity the Tuck_US_4_AS,5,0.0
654,Monique Heart_US_4_AS,5,0.0
655,Naomi Smalls_US_4_AS,5,0.0
656,Jujubee_US_5_AS,5,3.0
657,Shea Coulee_US_5_AS,5,5.0
658,Miz Cracker_US_5_AS,5,1.0
659,Priyanka_CAN_1_REG,5,0.0
660,Rita Baga_CAN_1_REG,5,3.0
661,Scarlett BoBo_CAN_1_REG,5,2.0
662,Envy Peru_HOL_1_REG,5,5.0
663,Janey Jacke_HOL_1_REG,5,3.0
664,Ma'Ma Queen_HOL_1_REG,5,3.0
665,Miss Abby OMG_HOL_1_REG,5,0.0
666,Natalia Pilacam_THI_1_REG,5,5.0
667,Annee Maywong_THI_1_REG,5,0.0
668,Dearis Doll_THI_1_REG,5,2.0
669,The Vivienne_UK_1_REG,5,0.0
670,Divina de Campo_UK_1_REG,5,5.0
671,Baga Chipz_UK_1_REG,5,5.0
672,Bebe Zahara Benet_US_1_REG,5,0.0
673,Nina Flowers_US_1_REG,5,1.0
674,Rebbeca Glasscock_US_1_REG,5,5.0
675,Aquaria_US_10_REG,5,2.0
676,Eureka_US_10_REG,5,5.0
677,Kameron Michaels_US_10_REG,5,2.0
678,Asia O'Hara_US_10_REG,5,2.0
679,Yvie Oddly_US_11_REG,5,3.0
680,Brooke Lynn Hytes_US_11_REG,5,5.0
681,A'keria Davenport_US_11_REG,5,2.0
682,Silky Nutmeg Ganache_US_11_REG,5,1.0
683,Jaida Essence Hall_US_12_REG,5,2.0
684,Crystal Methyd_US_12_REG,5,2.0
685,Gigi Goode_US_12_REG,5,3.0
686,Symone_US_13_REG,5,2.0
687,Kandy Muse_US_13_REG,5,2.0
688,Gottmik_US_13_REG,5,5.0
689,Rose_US_13_REG,5,3.0
690,Angele Anang_THI_2_REG,5,4.0
691,Kana Warrior_THI_2_REG,5,0.0
692,Kandy Zyanide_THI_2_REG,5,
693,Lawrence Chaney_UK_2_REG,5,5.0
694,Bimini Bon Boulash_UK_2_REG,5,5.0
695,Tayce_UK_2_REG,5,5.0
696,Ellie Diamond_UK_2_REG,5,2.0
697,Tyra Sanchez_US_2_REG,5,5.0
698,Raven_US_2_REG,5,3.0
699,Jujubee_US_2_REG,5,3.0
700,Raja_US_3_REG,5,3.0
701,Manila Luzon_US_3_REG,5,2.0
702,Alexis Mateo_US_3_REG,5,3.0
703,Sharon Needles_US_4_REG,5,3.0
704,Chad Michaels_US_4_REG,5,5.0
705,Phi Phi O'Hara_US_4_REG,5,1.0
706,Jinkx Monsoon_US_5_REG,5,5.0
707,Alaska_US_5_REG,5,3.0
708,Roxxxy Andrews_US_5_REG,5,3.0
709,Bianca Del Rio_US_6_REG,5,3.0
710,Adore Delano_US_6_REG,5,3.0
711,Courtney Act_US_6_REG,5,2.0
712,Violet Chachki_US_7_REG,5,1.0
713,Ginger Minj_US_7_REG,5,2.0
714,Pearl_US_7_REG,5,5.0
715,Bob the Drag Queen_US_8_REG,5,5.0
716,Kim Chi_US_8_REG,5,2.0
717,Naomi Smalls_US_8_REG,5,0.0
718,Sasha Velour_US_9_REG,5,2.0
719,Peppermint_US_9_REG,5,3.0
720,Shea Coulee_US_9_REG,5,5.0
721,Trinity the Tuck_US_9_REG,5,2.0
722,Kita Mean_AUS_1_REG,5,3.0
723,Art Simone_AUS_1_REG,5,2.0
724,Karen from Finance_AUS_1_REG,5,1.0
725,Scarlet Adams_AUS_1_REG,5,2.0
726,Carmen Farala_ESP_1_REG,5,3.0
727,Killer Queen_ESP_1_REG,5,0.0
728,Sagittaria_ESP_1_REG,5,2.0
729,Pupi Poisson_ESP_1_REG,5,5.0
730,Kylie Sonique Love_US_6_AS,5,0.0
731,Ginger Minj_US_6_AS,5,5.0
732,Ra'jah O'Hara_US_6_AS,5,2.0
733,Eureka_US_6_AS,5,3.0
734,Vanessa Van Cartier_HOL_2_REG,5,5.0
735,My Little Puny_HOL_2_REG,5,0.0
736,Vivaldi_HOL_2_REG,5,3.0
737,Ella Vaday_UK_3_REG,5,2.0
738,Kitty Scott-Claus_UK_3_REG,5,2.0
739,Krystal Versace_UK_3_REG,5,2.0
740,Icesis Couture_CAN_2_REG,5,3.0
741,Kendall Gender_CAN_2_REG,5,1.0
742,Pythia_CAN_2_REG,5,3.0
743,Farida Kant_ITA_1_REG,5,5.0
744,Elecktra Bionic_ITA_1_REG,5,3.0
745,Le Riche_ITA_1_REG,5,1.0
746,Luquisha Lubamba_ITA_1_REG,5,0.0
747,Blu Hydrangea_UK_1_WORLD,5,0.0
748,Mo Heart_UK_1_WORLD,5,4.0
749,Baga Chipz_UK_1_WORLD,5,0.0
750,Jujubee_UK_1_WORLD,5,5.0
751,Angeria Paris VanMichaels_US_14_REG,5,3.0
752,Bosco_US_14_REG,5,5.0
753,Daya Betty_US_14_REG,5,2.0
754,Lady Camden_US_14_REG,5,3.0
755,Willow Pill_US_14_REG,5,2.0
756,Estrella Xtravaganza_ESP_2_REG,5,2.0
757,Sharonne_ESP_2_REG,5,5.0
758,Venedita Von Dash_ESP_2_REG,5,3.0
759,Marina_ESP_2_REG,5,2.0
760,Jinkx Monsoon_US_7_AS,5,5.0
761,Monet X Change_US_7_AS,5,2.0
762,Shea Coulee_US_7_AS,5,3.0
763,Trinity the Tuck_US_7_AS,5,2.0
764,Paloma_FRA_1_REG,5,0.0
765,La Grande Dame_FRA_1_REG,5,1.0
766,Soa de Muse_FRA_1_REG,5,5.0
767,Lolita Banana_FRA_1_REG,5,3.0
768,Gisele Lullaby_CAN_3_REG,5,5.0
769,Jada Shada Hudson_CAN_3_REG,5,2.0
770,Kimmy Couture_CAN_3_REG,5,0.0
771,Miss Fiercalicious_CAN_3_REG,5,2.0
772,Hanna Conda_AUS_2_REG,5,5.0
773,Kween Kong_AUS_2_REG,5,5.0
774,Spankie Jackzon_AUS_2_REG,5,5.0
775,Eva Le Queen_PH_1_REG,5,2.0
776,Marina Summers_PH_1_REG,5,5.0
777,Precious Paula Nicole_PH_1_REG,5,3.0
778,Xilhouete_PH_1_REG,5,3.0
779,Black Peppa_UK_4_REG,5,2.0
780,Cheddar Gorgeous_UK_4_REG,5,2.0
781,Danny Beard_UK_4_REG,5,5.0
782,Jonbers Blonde_UK_4_REG,5,3.0
783,La Diamond_ITA_2_REG,5,2.0
784,Aura Etherial_ITA_2_REG,5,3.0
785,Nehllenia_ITA_2_REG,5,4.0
786,Ra'jah O'Hara_CAN_1_WORLD,5,2.0
787,Rita Baga_CAN_1_WORLD,5,5.0
788,Silky Nutmeg Ganache_CAN_1_WORLD,5,0.0
789,Victoria Scone_CAN_1_WORLD,5,4.0
790,Anetra_US_15_REG,5,1.0
791,Luxx Noir London_US_15_REG,5,2.0
792,Mistress Isabelle Brookes_US_15_REG,5,3.0
793,Sasha Colby_US_15_REG,5,3.0
794,Athena Sorgelikis_BEL_1_REG,5,1.0
795,Drag Couenne_BEL_1_REG,5,2.0
796,Susan_BEL_1_REG,5,3.0
797,Admira Thunderpussy_SWE_1_REG,5,5.0
798,Fontana_SWE_1_REG,5,0.0
799,Vanity Vain_SWE_1_REG,5,3.0
800,Chad Michaels_US_1_AS,6,
801,Raven_US_1_AS,6,
802,Jujubee_US_1_AS,6,
803,Shannel_US_1_AS,6,
804,Alaska_US_2_AS,6,5.0
805,Detox_US_2_AS,6,2.0
806,Katya_US_2_AS,6,4.0
807,Roxxxy Andrews_US_2_AS,6,0.0
808,Trixie Mattel_US_3_AS,6,0.0
809,Kennedy Davenport_US_3_AS,6,0.0
810,BeBe Zahara Benet_US_3_AS,6,4.0
811,Shangela_US_3_AS,6,0.0
812,Monet X Change_US_4_AS,6,2.0
813,Trinity the Tuck_US_4_AS,6,2.0
814,Monique Heart_US_4_AS,6,2.0
815,Naomi Smalls_US_4_AS,6,2.0
816,Jujubee_US_5_AS,6,3.0
817,Shea Coulee_US_5_AS,6,3.0
818,Miz Cracker_US_5_AS,6,4.0
819,Priyanka_CAN_1_REG,6,2.0
820,Rita Baga_CAN_1_REG,6,5.0
821,Scarlett BoBo_CAN_1_REG,6,3.0
822,Envy Peru_HOL_1_REG,6,5.0
823,Janey Jacke_HOL_1_REG,6,0.0
824,Ma'Ma Queen_HOL_1_REG,6,1.0
825,Miss Abby OMG_HOL_1_REG,6,3.0
826,Natalia Pilacam_THI_1_REG,6,3.0
827,Annee Maywong_THI_1_REG,6,3.0
828,Dearis Doll_THI_1_REG,6,5.0
829,The Vivienne_UK_1_REG,6,5.0
830,Divina de Campo_UK_1_REG,6,3.0
831,Baga Chipz_UK_1_REG,6,1.0
832,Bebe Zahara Benet_US_1_REG,6,5.0
833,Nina Flowers_US_1_REG,6,3.0
834,Rebbeca Glasscock_US_1_REG,6,0.0
835,Aquaria_US_10_REG,6,2.0
836,Eureka_US_10_REG,6,5.0
837,Kameron Michaels_US_10_REG,6,3.0
838,Asia O'Hara_US_10_REG,6,2.0
839,Yvie Oddly_US_11_REG,6,3.0
840,Brooke Lynn Hytes_US_11_REG,6,3.0
841,A'keria Davenport_US_11_REG,6,5.0
842,Silky Nutmeg Ganache_US_11_REG,6,3.0
843,Jaida Essence Hall_US_12_REG,6,2.0
844,Crystal Methyd_US_12_REG,6,1.0
845,Gigi Goode_US_12_REG,6,5.0
846,Symone_US_13_REG,6,2.0
847,Kandy Muse_US_13_REG,6,0.0
848,Gottmik_US_13_REG,6,2.0
849,Rose_US_13_REG,6,2.0
850,Angele Anang_THI_2_REG,6,4.0
851,Kana Warrior_THI_2_REG,6,
852,Kandy Zyanide_THI_2_REG,6,
853,Lawrence Chaney_UK_2_REG,6,0.0
854,Bimini Bon Boulash_UK_2_REG,6,5.0
855,Tayce_UK_2_REG,6,3.0
856,Ellie Diamond_UK_2_REG,6,2.0
857,Tyra Sanchez_US_2_REG,6,1.0
858,Raven_US_2_REG,6,3.0
859,Jujubee_US_2_REG,6,0.0
860,Raja_US_3_REG,6,5.0
861,Manila Luzon_US_3_REG,6,3.0
862,Alexis Mateo_US_3_REG,6,0.0
863,Sharon Needles_US_4_REG,6,2.0
864,Chad Michaels_US_4_REG,6,2.0
865,Phi Phi O'Hara_US_4_REG,6,3.0
866,Jinkx Monsoon_US_5_REG,6,3.0
867,Alaska_US_5_REG,6,1.0
868,Roxxxy Andrews_US_5_REG,6,3.0
869,Bianca Del Rio_US_6_REG,6,3.0
870,Adore Delano_US_6_REG,6,5.0
871,Courtney Act_US_6_REG,6,2.0
872,Violet Chachki_US_7_REG,6,2.0
873,Ginger Minj_US_7_REG,6,3.0
874,Pearl_US_7_REG,6,2.0
875,Bob the Drag Queen_US_8_REG,6,2.0
876,Kim Chi_US_8_REG,6,3.0
877,Naomi Smalls_US_8_REG,6,5.0
878,Sasha Velour_US_9_REG,6,3.0
879,Peppermint_US_9_REG,6,0.0
880,Shea Coulee_US_9_REG,6,2.0
881,Trinity the Tuck_US_9_REG,6,2.0
882,Kita Mean_AUS_1_REG,6,5.0
883,Art Simone_AUS_1_REG,6,2.0
884,Karen from Finance_AUS_1_REG,6,3.0
885,Scarlet Adams_AUS_1_REG,6,0.0
886,Carmen Farala_ESP_1_REG,6,5.0
887,Killer Queen_ESP_1_REG,6,3.0
888,Sagittaria_ESP_1_REG,6,0.0
889,Pupi Poisson_ESP_1_REG,6,1.0
890,Kylie Sonique Love_US_6_AS,6,5.0
891,Ginger Minj_US_6_AS,6,3.0
892,Ra'jah O'Hara_US_6_AS,6,0.0
893,Eureka_US_6_AS,6,1.0
894,Vanessa Van Cartier_HOL_2_REG,6,1.0
895,My Little Puny_HOL_2_REG,6,3.0
896,Vivaldi_HOL_2_REG,6,0.0
897,Ella Vaday_UK_3_REG,6,5.0
898,Kitty Scott-Claus_UK_3_REG,6,3.0
899,Krystal Versace_UK_3_REG,6,1.0
900,Icesis Couture_CAN_2_REG,6,5.0
901,Kendall Gender_CAN_2_REG,6,0.0
902,Pythia_CAN_2_REG,6,3.0
903,Farida Kant_ITA_1_REG,6,
904,Elecktra Bionic_ITA_1_REG,6,
905,Le Riche_ITA_1_REG,6,
906,Luquisha Lubamba_ITA_1_REG,6,
907,Blu Hydrangea_UK_1_WORLD,6,
908,Mo Heart_UK_1_WORLD,6,
909,Baga Chipz_UK_1_WORLD,6,
910,Jujubee_UK_1_WORLD,6,
911,Angeria Paris VanMichaels_US_14_REG,6,3.0
912,Bosco_US_14_REG,6,2.0
913,Daya Betty_US_14_REG,6,2.0
914,Lady Camden_US_14_REG,6,3.0
915,Willow Pill_US_14_REG,6,2.0
916,Estrella Xtravaganza_ESP_2_REG,6,0.0
917,Sharonne_ESP_2_REG,6,2.0
918,Venedita Von Dash_ESP_2_REG,6,3.0
919,Marina_ESP_2_REG,6,1.0
920,Jinkx Monsoon_US_7_AS,6,2.0
921,Monet X Change_US_7_AS,6,3.0
922,Shea Coulee_US_7_AS,6,3.0
923,Trinity the Tuck_US_7_AS,6,2.0
924,Paloma_FRA_1_REG,6,5.0
925,La Grande Dame_FRA_1_REG,6,2.0
926,Soa de Muse_FRA_1_REG,6,3.0
927,Lolita Banana_FRA_1_REG,6,0.0
928,Gisele Lullaby_CAN_3_REG,6,1.0
929,Jada Shada Hudson_CAN_3_REG,6,3.0
930,Kimmy Couture_CAN_3_REG,6,2.0
931,Miss Fiercalicious_CAN_3_REG,6,5.0
932,Hanna Conda_AUS_2_REG,6,5.0
933,Kween Kong_AUS_2_REG,6,0.0
934,Spankie Jackzon_AUS_2_REG,6,3.0
935,Eva Le Queen_PH_1_REG,6,3.0
936,Marina Summers_PH_1_REG,6,3.0
937,Precious Paula Nicole_PH_1_REG,6,2.0
938,Xilhouete_PH_1_REG,6,5.0
939,Black Peppa_UK_4_REG,6,0.0
940,Cheddar Gorgeous_UK_4_REG,6,5.0
941,Danny Beard_UK_4_REG,6,2.0
942,Jonbers Blonde_UK_4_REG,6,3.0
943,La Diamond_ITA_2_REG,6,2.0
944,Aura Etherial_ITA_2_REG,6,2.0
945,Nehllenia_ITA_2_REG,6,5.0
946,Ra'jah O'Hara_CAN_1_WORLD,6,
947,Rita Baga_CAN_1_WORLD,6,
948,Silky Nutmeg Ganache_CAN_1_WORLD,6,
949,Victoria Scone_CAN_1_WORLD,6,
950,Anetra_US_15_REG,6,3.0
951,Luxx Noir London_US_15_REG,6,2.0
952,Mistress Isabelle Brookes_US_15_REG,6,5.0
953,Sasha Colby_US_15_REG,6,2.0
954,Athena Sorgelikis_BEL_1_REG,6,5.0
955,Drag Couenne_BEL_1_REG,6,3.0
956,Susan_BEL_1_REG,6,1.0
957,Admira Thunderpussy_SWE_1_REG,6,1.0
958,Fontana_SWE_1_REG,6,5.0
959,Vanity Vain_SWE_1_REG,6,3.0
960,Chad Michaels_US_1_AS,7,
961,Raven_US_1_AS,7,
962,Jujubee_US_1_AS,7,
963,Shannel_US_1_AS,7,
964,Alaska_US_2_AS,7,0.0
965,Detox_US_2_AS,7,5.0
966,Katya_US_2_AS,7,4.0
967,Roxxxy Andrews_US_2_AS,7,0.0
968,Trixie Mattel_US_3_AS,7,4.0
969,Kennedy Davenport_US_3_AS,7,0.0
970,BeBe Zahara Benet_US_3_AS,7,0.0
971,Shangela_US_3_AS,7,5.0
972,Monet X Change_US_4_AS,7,2.0
973,Trinity the Tuck_US_4_AS,7,4.0
974,Monique Heart_US_4_AS,7,2.0
975,Naomi Smalls_US_4_AS,7,0.0
976,Jujubee_US_5_AS,7,3.0
977,Shea Coulee_US_5_AS,7,1.0
978,Miz Cracker_US_5_AS,7,5.0
979,Priyanka_CAN_1_REG,7,0.0
980,Rita Baga_CAN_1_REG,7,2.0
981,Scarlett BoBo_CAN_1_REG,7,3.0
982,Envy Peru_HOL_1_REG,7,2.0
983,Janey Jacke_HOL_1_REG,7,5.0
984,Ma'Ma Queen_HOL_1_REG,7,0.0
985,Miss Abby OMG_HOL_1_REG,7,0.0
986,Natalia Pilacam_THI_1_REG,7,3.0
987,Annee Maywong_THI_1_REG,7,5.0
988,Dearis Doll_THI_1_REG,7,0.0
989,The Vivienne_UK_1_REG,7,3.0
990,Divina de Campo_UK_1_REG,7,5.0
991,Baga Chipz_UK_1_REG,7,0.0
992,Bebe Zahara Benet_US_1_REG,7,
993,Nina Flowers_US_1_REG,7,
994,Rebbeca Glasscock_US_1_REG,7,
995,Aquaria_US_10_REG,7,5.0
996,Eureka_US_10_REG,7,3.0
997,Kameron Michaels_US_10_REG,7,2.0
998,Asia O'Hara_US_10_REG,7,1.0
999,Yvie Oddly_US_11_REG,7,3.0
1000,Brooke Lynn Hytes_US_11_REG,7,3.0
1001,A'keria Davenport_US_11_REG,7,0.0
1002,Silky Nutmeg Ganache_US_11_REG,7,2.0
1003,Jaida Essence Hall_US_12_REG,7,2.0
1004,Crystal Methyd_US_12_REG,7,3.0
1005,Gigi Goode_US_12_REG,7,5.0
1006,Symone_US_13_REG,7,3.0
1007,Kandy Muse_US_13_REG,7,3.0
1008,Gottmik_US_13_REG,7,2.0
1009,Rose_US_13_REG,7,2.0
1010,Angele Anang_THI_2_REG,7,4.0
1011,Kana Warrior_THI_2_REG,7,
1012,Kandy Zyanide_THI_2_REG,7,
1013,Lawrence Chaney_UK_2_REG,7,1.0
1014,Bimini Bon Boulash_UK_2_REG,7,2.0
1015,Tayce_UK_2_REG,7,0.0
1016,Ellie Diamond_UK_2_REG,7,3.0
1017,Tyra Sanchez_US_2_REG,7,3.0
1018,Raven_US_2_REG,7,5.0
1019,Jujubee_US_2_REG,7,3.0
1020,Raja_US_3_REG,7,3.0
1021,Manila Luzon_US_3_REG,7,0.0
1022,Alexis Mateo_US_3_REG,7,2.0
1023,Sharon Needles_US_4_REG,7,3.0
1024,Chad Michaels_US_4_REG,7,1.0
1025,Phi Phi O'Hara_US_4_REG,7,5.0
1026,Jinkx Monsoon_US_5_REG,7,3.0
1027,Alaska_US_5_REG,7,1.0
1028,Roxxxy Andrews_US_5_REG,7,0.0
1029,Bianca Del Rio_US_6_REG,7,3.0
1030,Adore Delano_US_6_REG,7,5.0
1031,Courtney Act_US_6_REG,7,1.0
1032,Violet Chachki_US_7_REG,7,2.0
1033,Ginger Minj_US_7_REG,7,5.0
1034,Pearl_US_7_REG,7,2.0
1035,Bob the Drag Queen_US_8_REG,7,5.0
1036,Kim Chi_US_8_REG,7,1.0
1037,Naomi Smalls_US_8_REG,7,3.0
1038,Sasha Velour_US_9_REG,7,1.0
1039,Peppermint_US_9_REG,7,2.0
1040,Shea Coulee_US_9_REG,7,3.0
1041,Trinity the Tuck_US_9_REG,7,5.0
1042,Kita Mean_AUS_1_REG,7,0.0
1043,Art Simone_AUS_1_REG,7,1.0
1044,Karen from Finance_AUS_1_REG,7,1.0
1045,Scarlet Adams_AUS_1_REG,7,5.0
1046,Carmen Farala_ESP_1_REG,7,5.0
1047,Killer Queen_ESP_1_REG,7,0.0
1048,Sagittaria_ESP_1_REG,7,0.0
1049,Pupi Poisson_ESP_1_REG,7,0.0
1050,Kylie Sonique Love_US_6_AS,7,3.0
1051,Ginger Minj_US_6_AS,7,2.0
1052,Ra'jah O'Hara_US_6_AS,7,3.0
1053,Eureka_US_6_AS,7,2.0
1054,Vanessa Van Cartier_HOL_2_REG,7,2.0
1055,My Little Puny_HOL_2_REG,7,5.0
1056,Vivaldi_HOL_2_REG,7,0.0
1057,Ella Vaday_UK_3_REG,7,3.0
1058,Kitty Scott-Claus_UK_3_REG,7,5.0
1059,Krystal Versace_UK_3_REG,7,3.0
1060,Icesis Couture_CAN_2_REG,7,3.0
1061,Kendall Gender_CAN_2_REG,7,5.0
1062,Pythia_CAN_2_REG,7,2.0
1063,Farida Kant_ITA_1_REG,7,
1064,Elecktra Bionic_ITA_1_REG,7,
1065,Le Riche_ITA_1_REG,7,
1066,Luquisha Lubamba_ITA_1_REG,7,
1067,Blu Hydrangea_UK_1_WORLD,7,
1068,Mo Heart_UK_1_WORLD,7,
1069,Baga Chipz_UK_1_WORLD,7,
1070,Jujubee_UK_1_WORLD,7,
1071,Angeria Paris VanMichaels_US_14_REG,7,2.0
1072,Bosco_US_14_REG,7,3.0
1073,Daya Betty_US_14_REG,7,4.0
1074,Lady Camden_US_14_REG,7,5.0
1075,Willow Pill_US_14_REG,7,3.0
1076,Estrella Xtravaganza_ESP_2_REG,7,5.0
1077,Sharonne_ESP_2_REG,7,5.0
1078,Venedita Von Dash_ESP_2_REG,7,3.0
1079,Marina_ESP_2_REG,7,0.0
1080,Jinkx Monsoon_US_7_AS,7,2.0
1081,Monet X Change_US_7_AS,7,3.0
1082,Shea Coulee_US_7_AS,7,3.0
1083,Trinity the Tuck_US_7_AS,7,5.0
1084,Paloma_FRA_1_REG,7,2.0
1085,La Grande Dame_FRA_1_REG,7,2.0
1086,Soa de Muse_FRA_1_REG,7,2.0
1087,Lolita Banana_FRA_1_REG,7,0.0
1088,Gisele Lullaby_CAN_3_REG,7,0.0
1089,Jada Shada Hudson_CAN_3_REG,7,1.0
1090,Kimmy Couture_CAN_3_REG,7,3.0
1091,Miss Fiercalicious_CAN_3_REG,7,3.0
1092,Hanna Conda_AUS_2_REG,7,0.0
1093,Kween Kong_AUS_2_REG,7,5.0
1094,Spankie Jackzon_AUS_2_REG,7,3.0
1095,Eva Le Queen_PH_1_REG,7,0.0
1096,Marina Summers_PH_1_REG,7,3.0
1097,Precious Paula Nicole_PH_1_REG,7,1.0
1098,Xilhouete_PH_1_REG,7,3.0
1099,Black Peppa_UK_4_REG,7,2.0
1100,Cheddar Gorgeous_UK_4_REG,7,5.0
1101,Danny Beard_UK_4_REG,7,3.0
1102,Jonbers Blonde_UK_4_REG,7,1.0
1103,La Diamond_ITA_2_REG,7,5.0
1104,Aura Etherial_ITA_2_REG,7,3.0
1105,Nehllenia_ITA_2_REG,7,1.0
1106,Ra'jah O'Hara_CAN_1_WORLD,7,
1107,Rita Baga_CAN_1_WORLD,7,
1108,Silky Nutmeg Ganache_CAN_1_WORLD,7,
1109,Victoria Scone_CAN_1_WORLD,7,
1110,Anetra_US_15_REG,7,0.0
1111,Luxx Noir London_US_15_REG,7,2.0
1112,Mistress Isabelle Brookes_US_15_REG,7,2.0
1113,Sasha Colby_US_15_REG,7,2.0
1114,Athena Sorgelikis_BEL_1_REG,7,0.0
